Gene_ID	Top1_NAA1	Top1_NAA2	Top1_IAA1	Top1_IAA2
ACTL7B	0.0	0.0	1.205402	0.675195
ACTL8	0.0	0.0	0.127351	0.000000
ACTL9	0.0	0.0	0.000000	0.000000
ACTN1	3.643630	5.924558	64.968597	42.969666
ACTN1-AS1	0.287145	0.0	2.308848	2.460768
ACTN2	0.0	0.0	0.023288	0.000000
ACTN3	0.000000	0.000000	0.234736	0.079760
ACTN4	9.861093	15.318838	153.944336	105.715019
ACTR10	1.453912	1.900860	7.341254	4.565752
ACTR1A	3.617473	6.710059	53.551338	38.177864
ACTR1B	0.837024	1.611160	24.925156	18.643049
ACTR2	4.217170	4.763272	16.708534	12.214885
ACTR3	1.125486	1.174613	4.004120	3.160785
ACTR3B	2.320478	4.205909	20.937075	14.256202
ACTR3BP2	0.022422	0.000000	0.0	0.000000
ACTR3BP5	0.0	0.0	0.028267	0.0
ACTR3C	0.281380	0.669597	3.428384	2.036872
ACTR5	0.851150	1.586527	21.491730	13.185962
ACTR6	1.224513	1.400535	4.113783	2.248187
ACTR8	2.305594	3.004133	16.114080	8.996694
ACTRT1	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.000000
ACTRT3	0.803794	1.331503	7.602097	4.332002
ACVR1	2.283740	2.750000	13.258034	7.415488
ACVR1B	0.285865	0.481070	3.570113	2.864895
ACVR1C	0.000000	0.030186	0.381183	0.325879
ACVR2A	2.296672	1.997353	6.025888	4.427265
ACVR2B	1.025411	1.617163	8.521806	5.962718
ACVR2B-AS1	0.565356	0.659118	6.555026	4.479539
ACVRL1	0.000000	0.0	0.743960	0.457312
ACY1	0.454483	1.351013	18.657465	7.081693
ACY3	0.0	0.000000	0.350000	0.710000
ACYP1	0.727459	1.205943	14.844262	8.309426
ACYP2	1.245499	1.325696	15.056465	10.127660
ADA	0.862272	1.715405	16.280680	12.431462
ADAD1	0.0	0.0	0.0	0.0
ADAD2	0.000000	0.0	0.000000	0.000000
ADAL	0.464191	0.465889	2.464811	1.333993
ADAM10	3.957290	5.976758	16.225666	10.885578
ADAM11	0.175602	0.778283	16.028311	11.230124
ADAM12	0.132306	0.217052	0.438624	0.324807
ADAM15	0.689281	1.773518	24.180582	17.282475
ADAM17	3.827237	6.501125	22.917276	13.789533
ADAM18	0.0	0.0	0.0	0.0
ADAM19	0.863991	1.362077	16.472813	9.986828
ADAM1A	1.740493	3.016549	10.744719	7.320423
ADAM2	0.0	0.0	0.0	0.0
ADAM20	0.400788	0.824499	2.579871	1.673352
ADAM20P1	0.519433	0.661397	1.774539	1.577734
ADAM21	0.372372	0.629880	1.276276	0.895646
ADAM21P1	0.144949	0.029283	0.115666	0.075647
ADAM22	0.768274	0.898581	3.782844	2.256657
ADAM23	0.000000	0.055413	0.000000	0.000000
ADAM28	0.000000	0.0	0.000000	0.0
ADAM29	0.0	0.0	0.0	0.0
ADAM30	0.000000	0.0	0.000000	0.037433
ADAM32	0.0	0.0	0.0	0.0
ADAM33	0.0	0.000000	0.000000	0.000000
ADAM3A	0.0	0.0	0.0	0.0
ADAM5	0.0	0.0	0.0	0.0
ADAM6	0.0	0.0	0.0	0.0
ADAM7	0.000000	0.0	0.000000	0.0
ADAM8	0.114208	0.173584	1.263556	0.832172
ADAM9	0.0	0.0	0.0	0.0
ADAMDEC1	0.000000	0.0	0.000000	0.0
ADAMTS1	0.0	0.0	0.0	0.0
ADAMTS10	0.000000	0.000000	5.557987	3.949144
ADAMTS12	0.0	0.0	0.0	0.000000
ADAMTS13	0.218626	0.299019	5.347736	3.333104
ADAMTS14	0.311942	0.671160	13.326181	8.468578
ADAMTS15	0.0	0.126498	2.937984	2.070120
ADAMTS16	0.282670	0.422195	2.975673	1.922799
ADAMTS17	0.229979	0.338967	3.583004	2.128732
ADAMTS18	0.081008	0.000000	0.107390	0.059192
ADAMTS19	0.0	0.0	0.000000	0.000000
ADAMTS19-AS1	0.0	0.0	0.000000	0.000000
ADAMTS2	0.094620	0.151167	1.345275	0.856947
ADAMTS20	0.0	0.0	0.0	0.000000
ADAMTS3	0.0	0.0	0.0	0.0
ADAMTS4	0.0	0.027239	0.330332	0.251385
ADAMTS5	0.0	0.0	0.0	0.0
ADAMTS6	0.111998	0.138690	0.465878	0.279719
ADAMTS7	0.265209	0.506831	10.294171	6.443807
ADAMTS7P1	0.0	0.0	0.0	0.0
ADAMTS8	0.033579	0.000000	0.158067	0.133224
ADAMTS9	0.0	0.000000	0.000000	0.000000
ADAMTS9-AS1	0.0	0.000000	0.000000	0.090585
ADAMTS9-AS2	0.0	0.000000	0.000000	0.000000
ADAMTSL1	0.000000	0.000000	0.0	0.007254
ADAMTSL2	0.0	0.0	0.000000	0.000000
ADAMTSL3	0.0	0.000000	0.000000	0.000000
ADAMTSL4	0.812725	1.397707	14.128947	10.473336
ADAMTSL4-AS1	7.487341	7.327943	37.874264	24.195240
ADAMTSL5	0.852993	1.488624	21.691984	16.256563
ADAP1	0.382933	0.673718	11.948369	9.029042
ADAP2	0.468898	1.106948	10.247392	6.846499
ADAR	6.619290	9.500423	57.008457	37.820786
ADARB1	0.613576	1.160392	8.300210	5.980826
ADARB2	0.0	0.000000	0.000000	0.000000
ADARB2-AS1	0.0	0.000000	0.000000	0.000000
ADAT1	1.719401	2.451846	13.094921	9.012766
ADAT2	0.999199	1.451888	5.165354	3.248499
ADAT3	1.419434	1.944283	49.265144	31.195829
ADCK1	0.341540	1.215309	6.646374	4.996867
ADCK2	0.691201	0.989848	12.289763	7.922166
ADCK3	0.919631	1.641587	21.374146	15.809166
ADCK4	0.675210	1.725671	20.770124	14.189027
ADCK5	1.112703	1.573173	44.690987	30.637281
ADCY1	0.207022	0.226201	1.052277	0.643415
ADCY10	0.000000	0.095813	0.566466	0.299506
ADCY10P1	0.000000	0.000000	0.529332	0.183238
ADCY2	0.000000	0.0	0.0	0.036624
ADCY3	2.625971	3.485150	36.174213	22.954258
ADCY4	0.000000	0.051613	0.533871	0.295161
ADCY5	0.216877	0.360716	2.430877	1.498162
ADCY6	0.404949	0.767781	13.622418	9.070305
ADCY7	2.115422	3.194285	21.022350	14.223819
ADCY8	0.0	0.0	0.0	0.000000
ADCY9	1.050472	1.975281	18.476278	12.588326
ADCYAP1	0.000000	0.0	0.000000	0.000000
ADCYAP1R1	0.0	0.0	0.000000	0.0
ADD1	0.389143	0.583686	4.061080	2.952325
ADD2	0.0	0.0	0.057042	0.000000
ADD3	0.130795	0.171468	0.525921	0.364577
ADD3-AS1	0.000000	0.058357	1.684640	1.060267
ADGB	0.000000	0.000000	0.000000	0.0
ADGRA1	0.0	0.0	0.000000	0.0
ADGRA1-AS1	0.0	0.0	0.0	0.0
ADGRA2	0.952580	1.593928	18.792919	12.574313
ADGRA3	2.827239	3.738997	16.455223	10.892709
ADGRB1	0.000000	0.192475	6.438495	4.229740
ADGRB2	0.276838	0.552206	14.652205	9.606066
ADGRB3	0.0	0.0	0.0	0.0
ADGRD1	0.0	0.0	0.129829	0.130944
ADGRE1	0.0	0.000000	0.000000	0.000000
ADGRE2	0.482753	0.580273	7.203736	5.013609
ADGRE3	0.000000	0.000000	0.000000	0.000000
ADGRE4P	0.000000	0.000000	0.000000	0.000000
ADGRE5	1.517468	3.279782	43.471077	30.199455
ADGRF1	0.170442	0.322192	2.291937	1.418343
ADGRF2	0.0	0.000000	0.068865	0.055014
ADGRF3	0.718348	0.787225	8.622678	5.586758
ADGRF4	0.000000	0.000000	0.000000	0.000000
ADGRF5	0.0	0.0	0.0	0.000000
ADGRG1	0.111578	0.179293	3.097100	2.152576
ADGRG2	0.221719	0.574078	1.126520	0.892232
ADGRG3	0.0	0.0	0.000000	0.000000
ADGRG4	0.0	0.0	0.000000	0.000000
ADGRG5	0.330933	0.320258	5.297667	3.234856
ADGRG6	5.670019	6.369774	20.016090	13.623761
ADGRG7	0.000000	0.000000	0.000000	0.000000
ADGRL1	1.433060	2.662180	47.294666	32.948868
ADGRL2	0.0	0.0	0.0	0.0
ADGRL3	0.0	0.0	0.0	0.0
ADGRL3-AS1	0.0	0.0	0.0	0.0
ADGRL4	0.0	0.0	0.0	0.0
ADGRV1	0.404904	0.477681	1.963948	1.090415
ADH1A	0.259333	0.241333	0.099544	0.201308
ADH1B	0.0	0.0	0.0	0.0
ADH1C	0.0	0.0	0.0	0.0
ADH4	0.405669	0.379647	0.369424	0.479116
ADH5	3.590909	4.194266	19.977367	12.270465
ADH6	0.293413	0.202595	0.343646	0.460095
ADH7	0.0	0.0	0.0	0.0
ADHFE1	0.282850	0.000000	1.452770	0.826385
ADI1	0.0	0.0	0.0	0.0
ADIG	0.0	0.000000	0.470207	0.709845
ADIPOQ	0.0	0.000000	0.000000	0.0
ADIPOQ-AS1	0.0	0.000000	0.000000	0.0
ADIPOR1	2.557161	4.475031	29.201403	19.823772
ADIPOR2	3.608071	4.982976	28.658260	21.257504
ADIRF	2.880337	3.862224	72.294975	54.251129
ADK	0.281464	0.427687	1.553636	1.029982
ADM	2.907547	4.579874	52.518867	39.679245
ADM2	0.183478	0.515797	8.671425	5.665340
ADM5	0.858428	1.569602	26.537878	20.322443
ADNP	11.023016	14.969695	48.362965	32.055096
ADNP-AS1	5.090204	5.581959	17.957850	13.832148
ADNP2	4.604790	7.324299	37.632259	22.794691
ADO	2.385338	3.003759	21.523899	16.090494
ADORA1	0.383008	0.401850	8.166153	5.528605
ADORA2A	0.000000	0.021202	0.844162	0.038908
ADORA2A-AS1	0.136161	0.133373	1.703382	1.209236
ADORA2B	5.901591	9.127321	76.769493	53.254112
ADORA3	0.0	0.0	0.000000	0.050671
ADPGK	1.972230	4.145927	19.418165	14.104472
ADPGK-AS1	2.290865	1.523829	14.094540	9.593806
ADPRH	0.000000	0.092884	2.119772	0.872895
ADPRHL1	0.413223	0.516529	6.695133	4.279155
ADPRHL2	0.427558	1.929036	26.305737	20.000591
ADPRM	1.022398	1.243742	4.365613	3.430171
ADRA1A	0.0	0.0	0.000000	0.000000
ADRA1B	0.0	0.0	0.079858	0.079858
ADRA1D	0.089647	0.187922	1.234809	0.720555
ADRA2A	0.123419	0.226181	1.065840	0.541699
ADRA2B	0.053100	0.070306	0.747258	0.558886
ADRA2C	0.596527	1.209397	29.670071	21.284473
ADRB1	0.041579	0.166317	3.235849	1.824249
ADRB2	0.058766	0.115573	1.575416	0.662586
ADRB3	0.000000	0.0	0.000000	0.044596
ADRBK1	1.260453	1.814750	37.603077	23.857433
ADRBK2	1.112424	1.331088	5.643733	4.014467
ADRM1	2.269595	6.698648	120.048637	84.678375
ADSL	2.942418	4.884197	34.518875	21.543825
ADSS	2.401869	2.456147	13.127247	8.991733
ADSSL1	0.061002	0.000000	3.217720	2.174201
ADTRP	0.0	0.0	0.173843	0.000000
AEBP1	0.325012	0.390113	10.429290	7.050177
AEBP2	0.824930	0.969009	4.137954	2.741962
AEN	2.951540	4.399872	70.375481	49.209564
AES	1.687082	3.459084	46.419968	33.249615
AFAP1	1.256945	1.770811	15.381020	9.623083
AFAP1-AS1	0.493140	1.152655	9.506000	5.841585
AFAP1L1	0.228158	0.454653	3.291785	2.450380
AFAP1L2	0.000000	0.160452	1.711811	1.441183
AFF1	0.530196	0.657338	4.177658	2.859979
AFF2	0.0	0.0	0.0	0.0
AFF3	0.0	0.000000	0.000000	0.029104
AFF4	5.506994	6.691754	24.963623	15.574322
AFG3L1P	2.785384	4.632942	34.509380	24.170097
AFG3L2	3.148209	3.889987	22.326601	15.738091
AFM	0.000000	0.0	0.000000	0.0
AFMID	0.725000	1.012500	14.090742	10.095370
AFP	0.000000	0.0	0.000000	0.0
AFTPH	2.951007	3.467136	13.647589	8.934756
AGA	0.495243	0.607041	8.538535	5.498573
AGAP1	2.853172	3.941145	24.099102	15.915853
AGAP1-IT1	2.594880	1.745482	32.811749	20.013554
AGAP11	0.336602	0.124913	4.160673	2.752211
AGAP2	1.052254	1.654263	24.646290	17.055258
AGAP2-AS1	0.259229	1.085466	19.279900	13.809238
AGAP3	0.169111	0.350533	5.492869	3.405099
AGAP4	1.721981	2.372643	11.933836	7.860912
AGAP5	1.158874	1.864780	9.971391	7.770139
AGAP6	2.023031	3.736160	15.799279	10.479242
AGAP7P	0.856691	1.445797	8.356327	6.218557
AGAP9	1.203901	1.895730	16.839243	11.662786
AGBL1	0.0	0.0	0.0	0.0
AGBL1-AS1	0.0	0.0	0.0	0.0
AGBL2	0.000000	0.000000	0.281102	0.000000
AGBL3	0.263798	0.335409	2.159355	1.900085
AGBL4	0.0	0.0	0.0	0.000000
AGBL4-IT1	0.0	0.0	0.0	0.000000
AGBL5	1.866832	3.275380	32.379925	21.197252
AGBL5-AS1	0.000000	0.000000	3.562654	2.943489
AGER	0.0	0.0	0.0	0.0
AGFG1	5.472419	7.192493	14.418403	9.337714
AGFG2	0.656828	1.310538	18.390564	11.877468
AGGF1	1.968500	2.576531	12.783496	8.489130
AGK	0.0	0.0	0.0	0.0
AGL	0.827324	1.191849	4.640781	2.846256
AGMAT	0.393961	0.696425	2.441943	1.703828
AGMO	0.0	0.0	0.0	0.0
AGO1	2.064322	2.758759	22.629313	15.169163
AGO2	6.347714	8.729714	64.964851	39.523144
AGO3	3.506447	4.091358	21.850206	13.696022
AGO4	0.583286	0.748867	3.216856	2.126204
AGPAT1	0.0	0.0	0.0	0.0
AGPAT2	0.457364	2.405039	58.582043	43.129200
AGPAT3	0.150425	0.233115	2.233605	1.486308
AGPAT4	2.196218	2.373271	8.431527	5.807336
AGPAT4-IT1	0.956240	1.257699	11.467315	6.384657
AGPAT5	2.304947	3.719152	14.532162	9.469288
AGPS	2.160339	3.034442	9.106719	6.033920
AGR2	0.0	0.316378	0.473042	0.464903
AGR3	0.0	0.0	0.000000	0.000000
AGRN	0.922369	1.504598	33.375977	24.568502
AGRP	0.000000	0.000000	8.937173	5.759162
AGT	0.0	0.0	0.000000	0.069272
AGTPBP1	1.907689	3.027099	8.802600	5.933024
AGTR1	0.0	0.0	0.0	0.0
AGTR2	0.0	0.0	0.000000	0.0
AGTRAP	1.079687	1.867188	27.592968	18.986719
AGXT	0.0	0.0	0.000000	0.0
AGXT2	0.000000	0.0	0.000000	0.000000
AHCTF1	6.040137	8.011583	18.817156	13.151164
AHCTF1P1	0.338558	0.566546	2.002660	1.371548
AHCY	3.121749	4.485422	59.174149	39.186764
AHCYL1	0.859995	1.362048	8.157797	5.807583
AHCYL2	0.244692	0.317672	2.498616	1.469964
AHDC1	1.780749	3.670336	61.262505	40.353729
AHI1	0.710997	1.007199	2.628006	1.935759
AHNAK	3.232448	5.336404	40.963528	27.377720
AHNAK2	0.545559	0.980783	17.735750	11.860884
AHR	2.327197	3.033136	21.503761	14.615335
AHRR	3.502028	5.842664	44.313725	30.027813
AHSA1	2.627143	4.395000	36.335712	30.156429
AHSA2	2.319180	3.928588	28.527250	19.617798
AHSG	0.0	0.0	0.000000	0.000000
AHSP	0.0	0.0	0.000000	0.000000
AICDA	0.0	0.0	0.0	0.000000
AIDA	2.638674	3.746790	12.791597	7.788211
AIF1	0.0	0.0	0.0	0.0
AIF1L	0.921402	2.027990	16.321177	12.213459
AIFM1	0.959115	1.972026	15.003535	10.684906
AIFM2	1.118236	2.097846	22.116337	15.800002
AIFM3	0.000000	0.133047	3.095081	1.804886
AIG1	1.431410	1.767914	7.411963	3.789685
AIM1	0.832538	1.367940	6.182180	3.978786
AIM1L	0.000000	0.000000	4.215634	2.796949
AIM2	0.0	0.0	0.0	0.0
AIMP1	0.340225	0.511859	2.102565	1.442120
AIMP2	2.485515	3.156020	47.791580	27.263466
AIP	0.213621	0.340525	5.189932	3.831430
AIPL1	0.0	0.0	0.000000	0.000000
AIRE	0.0	0.000000	0.000000	0.120487
AIRN	0.219250	0.604252	4.016689	2.310700
AJAP1	0.0	0.0	0.0	0.0
AJUBA	0.699811	1.254379	19.733091	13.593236
AK1	0.373786	0.255516	6.693292	4.991174
AK2	5.279934	7.556836	33.506496	21.938398
AK3	1.418001	2.370835	8.438555	5.134898
